step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
95,1.20,3.20,0.44,1.27,1.69,5.92,1.80,6.46,1.75,6.57,1.68,6.36,1.78,6.29,1.74,7.09,1.64,6.66,1.70,5.70,1.50,5.14,0.07,0.18,0.02,0.07
96,1.21,3.22,0.44,1.28,1.70,5.94,1.80,6.48,1.76,6.58,1.68,6.37,1.79,6.32,1.75,7.10,1.65,6.68,1.70,5.72,1.50,5.15,0.07,0.19,0.02,0.08
97,1.22,3.24,0.44,1.29,1.70,5.93,1.81,6.48,1.76,6.59,1.69,6.38,1.79,6.30,1.75,7.10,1.66,6.72,1.70,5.73,1.50,5.16,0.07,0.19,0.02,0.08
98,1.23,3.27,0.44,1.30,1.71,5.95,1.82,6.50,1.77,6.60,1.69,6.39,1.80,6.32,1.76,7.13,1.66,6.76,1.71,5.75,1.51,5.17,0.07,0.19,0.02,0.08
99,1.24,3.31,0.44,1.31,1.71,5.96,1.82,6.53,1.77,6.62,1.69,6.41,1.81,6.34,1.77,7.15,1.67,6.79,1.71,5.76,1.51,5.18,0.08,0.20,0.02,0.08
100,1.25,3.33,0.45,1.32,1.71,5.97,1.83,6.54,1.78,6.64,1.70,6.42,1.82,6.35,1.77,7.17,1.67,6.82,1.71,5.76,1.51,5.18,0.08,0.20,0.02,0.08
101,1.25,3.35,0.45,1.33,1.71,5.96,1.83,6.55,1.77,6.64,1.70,6.42,1.81,6.35,1.76,7.17,1.68,6.86,1.70,5.77,1.50,5.19,0.08,0.20,0.02,0.08
102,1.26,3.36,0.45,1.33,1.70,5.95,1.83,6.56,1.77,6.64,1.70,6.43,1.82,6.36,1.76,7.18,1.69,6.90,1.70,5.79,1.50,5.20,0.08,0.20,0.02,0.08
103,1.27,3.38,0.45,1.34,1.71,5.97,1.84,6.59,1.77,6.66,1.70,6.45,1.82,6.38,1.76,7.22,1.69,6.95,1.71,5.82,1.51,5.21,0.08,0.20,0.02,0.08
104,1.27,3.39,0.45,1.35,1.71,5.97,1.85,6.60,1.77,6.67,1.70,6.45,1.83,6.39,1.76,7.23,1.70,6.98,1.71,5.83,1.51,5.22,0.08,0.20,0.02,0.08
